number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
3465,duftler,Clean up and 'enforce' Reviewers & Approvers lists.,open,3,0,0,0,0,0,0,0,2018-10-17 12:40:39 UTC,2019-03-03 12:55:29 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3465
3361,lwander,Clouddriver logs should suggest enabling the resource manager API when _catalog fails against GCR,open,3,0,0,0,0,0,0,0,2018-09-19 19:24:09 UTC,2019-03-12 12:30:46 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3361
3087,ezimanyi,Move polling of GCE operations to Orca,open,3,0,0,0,0,0,0,0,2018-07-25 15:39:10 UTC,2019-04-01 23:04:05 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3087
4244,ewiseblatt,Unknown startTime throws off orca stage.invocations.duration Timer,open,4,0,0,0,0,0,0,0,2019-04-04 18:50:14 UTC,2019-04-05 16:33:18 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4244
4230,anup13kumar,Auto trigger is not working in version 1.13.x,open,4,0,0,0,0,0,0,0,2019-04-02 06:42:52 UTC,2019-04-08 05:24:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4230
4218,okundzich,CF Artifact configuration improvements,open,4,0,0,0,0,0,0,0,2019-03-29 18:28:49 UTC,2019-04-15 17:08:07 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4218
4208,madsonic,"Deploy failed: error: unable to recognize ""STDIN"": Unauthorized",open,4,0,0,0,0,0,0,0,2019-03-28 10:58:57 UTC,2019-04-09 07:30:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4208
4199,jtk54,Refactor `Pipeline` model in Echo to be more flexible,open,4,0,0,0,0,0,0,0,2019-03-26 20:37:06 UTC,2019-03-27 17:46:14 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4199
4177,papanito,Deplyoment of Helm Chart fails as  Clouddriver warns HelmArtifactCredentials : Invalid url: for local repos,open,4,0,0,0,0,0,0,0,2019-03-22 15:07:16 UTC,2019-04-01 11:11:33 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4177
4049,error418,ambiguous nimbus-jose-jwt library on classpath causes clouddriver to fail on startup,open,4,0,0,0,0,0,0,0,2019-02-27 12:19:59 UTC,2019-04-14 07:20:16 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4049
4036,rebalag,[clouddriver/kubernetes] Application access fails when there are large number of accounts,open,4,0,0,0,0,0,0,0,2019-02-26 06:14:21 UTC,2019-04-13 16:55:22 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4036
